covidID,dateID,province,totalcases,numdeaths,recovery
227,18,QC,346305,10404,330362
228,18,NL,1081,6,1038
229,18,NB,1933,36,1755
230,18,NS,2644,67,1795
231,18,PE,180,0,169
232,18,YT,81,2,79
233,18,NT,57,0,51
234,18,NU,508,4,430
235,19,BC,134937,1614,125799
236,19,AB,208307,2125,179894
237,19,SK,42964,502,40169
238,19,MB,41422,990,37198
239,19,ON,494847,8634,447938
240,19,QC,352563,10446,337538
241,19,NL,1133,6,1056
242,19,NB,1996,41,1813
243,19,NS,3697,70,2145
244,19,PE,185,0,176
245,19,YT,82,2,79
246,19,NT,90,0,57
247,19,NU,564,4,472
248,20,BC,138747,1634,130953
249,20,AB,218647,2153,192688
250,20,SK,44364,516,41776
251,20,MB,44615,1006,39392
252,20,ON,511382,8797,471096
253,20,QC,358064,10492,344039
254,20,NL,1184,6,1096
255,20,NB,2052,41,1897
256,20,NS,4600,72,3030
257,20,PE,191,0,179
258,20,YT,84,2,81
259,20,NT,116,0,83
260,20,NU,611,4,536
261,21,BC,141729,1667,135068
262,21,AB,224010,2188,205960
263,21,SK,45490,526,43194
264,21,MB,47977,1028,41965
265,21,ON,524029,8949,490721
266,21,QC,362209,10543,349498
267,21,NL,1230,6,1155
268,21,NB,2115,43,1949
269,21,NS,5190,77,4161
270,21,PE,197,0,185
271,21,YT,84,2,82
272,21,NT,125,0,118
273,21,NU,636,4,588
274,22,BC,143839,1699,138360
275,22,AB,227135,2223,216167
276,22,SK,46464,537,44519
277,22,MB,50498,1045,44819
278,22,ON,531795,9085,506361
279,22,QC,364997,10576,354104
280,22,NL,1302,6,1192
281,22,NB,2191,43,2004
282,22,NS,5501,83,4880
283,22,PE,202,0,187
284,22,YT,84,2,82
285,22,NT,128,0,125
286,22,NU,645,4,629
